,IDComponente,IDTipo,Function,Severity,Idmodo,Comentario,Idcausa,LambdaB,PiTemp,PiP,PiSR,PiS,PiQ,PiE,PiV,Lambda
0,C10,Capacitor,Generación de reloj,Critical,Corto circuito (eléctrico),Tensión=25V,Envejecimiento,0.00099,1.3,,1.0,,10.0,1,1.0,0.0104
1,C10,Capacitor,Generación de reloj,Critical,Circuito Abierto (eléctrico),Tensión=25V,Envejecimiento,0.00099,1.3,,1.0,,10.0,1,1.0,0.0104
2,C10,Capacitor,Generación de reloj,Critical,Pérdidas (eléctricas),Tensión=25V,Envejecimiento,0.00099,1.3,,1.0,,10.0,1,1.0,0.0104
3,C11,Capacitor,Generación de reloj,Critical,Corto circuito (eléctrico),Tensión=25V,Envejecimiento,0.00099,1.3,,1.0,,10.0,1,1.0,0.0104
4,C11,Capacitor,Generación de reloj,Critical,Circuito Abierto (eléctrico),Tensión=25V,Envejecimiento,0.00099,1.3,,1.0,,10.0,1,1.0,0.0104
5,C11,Capacitor,Generación de reloj,Critical,Pérdidas (eléctricas),Tensión=25V,Envejecimiento,0.00099,1.3,,1.0,,10.0,1,1.0,0.0104
6,X1,Cristal,Generación de reloj,Critical,Falla de tolerancia (baja),,Temperatura,,,,,,2.1,3,,0.0693
7,X1,Cristal,Generación de reloj,Critical,Falla de tolerancia (alta),,Temperatura,,,,,,2.1,3,,0.0693
8,R16,Resistor,Generación de reloj,Critical,Corto circuito (eléctrico),Metalfilm Potencia=0.125,Envejecimiento,0.0037,1.1,0.44,,0.79,10.0,4,,0.005659
9,R16,Resistor,Generación de reloj,Critical,Circuito Abierto (eléctrico),Metalfilm Potencia=0.125,Envejecimiento,0.0037,1.1,0.44,,0.79,10.0,4,,0.005659
10,R16,Resistor,Generación de reloj,Critical,Pérdidas (eléctricas),Metalfilm Potencia=0.125,Envejecimiento,0.0037,1.1,0.44,,0.79,10.0,4,,0.005659
11,R17,Resistor,Generación de reloj,Critical,Corto circuito (eléctrico),Metalfilm Potencia=0.125,Envejecimiento,0.0037,1.1,0.44,,0.79,10.0,4,,0.005659
12,R17,Resistor,Generación de reloj,Critical,Circuito Abierto (eléctrico),Metalfilm Potencia=0.125,Envejecimiento,0.0037,1.1,0.44,,0.79,10.0,4,,0.005659
13,R17,Resistor,Generación de reloj,Critical,Pérdidas (eléctricas),Metalfilm Potencia=0.125,Envejecimiento,0.0037,1.1,0.44,,0.79,10.0,4,,0.005659
14,U4,Integrado,Generación de reloj,Critical,Corto circuito (eléctrico),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
15,U4,Integrado,Generación de reloj,Critical,Circuito Abierto (eléctrico),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
16,U4,Integrado,Generación de reloj,Critical,Pérdidas (eléctricas),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
17,U4,Integrado,Generación de reloj,Critical,Falla a cambiar (switch),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
18,U5,Integrado,Generación de reloj,Critical,Corto circuito (eléctrico),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
19,U5,Integrado,Generación de reloj,Critical,Circuito Abierto (eléctrico),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
20,U5,Integrado,Generación de reloj,Critical,Pérdidas (eléctricas),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
21,U5,Integrado,Generación de reloj,Critical,Falla a cambiar (switch),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
22,U6,Integrado,Generación de reloj,Critical,Corto circuito (eléctrico),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
23,U6,Integrado,Generación de reloj,Critical,Circuito Abierto (eléctrico),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
24,U6,Integrado,Generación de reloj,Critical,Pérdidas (eléctricas),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
25,U6,Integrado,Generación de reloj,Critical,Falla a cambiar (switch),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
26,U8,Integrado,Generación de reloj,Critical,Corto circuito (eléctrico),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
27,U8,Integrado,Generación de reloj,Critical,Circuito Abierto (eléctrico),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
28,U8,Integrado,Generación de reloj,Critical,Pérdidas (eléctricas),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
29,U8,Integrado,Generación de reloj,Critical,Falla a cambiar (switch),Compuertas Lógicas,Temperatura,,0.15,,,,10.0,2,,0.151
